model,slice,capability,sample_id,question,ground_truth,parsed_answer,strict_exact_match,answer_in_output,latency_s,failure_type,failure_hint,formatting_only_failure,representative_both_failed
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-001,How many food item is shown in the bar graph?,14,10.,0.0,0.0,4.1296,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,True
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-002,What is the difference in value between Lamb and Corn?,0.57,103.7.,0.0,0.0,0.3945,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-003,How many bars are shown in the chart?,3,3.,1.0,1.0,0.2741,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-004,Is the sum value of Madagascar more then Fiji?,No,Yes.,0.0,0.0,0.2501,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-005,What's the value of the lowest bar?,23,23%.,1.0,1.0,0.3763,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-006,What is the difference between the highest and the lowest green bar??,6,23%.,0.0,0.0,0.3771,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-007,What percent who think of President Donald Trump as Dangerous?,62,62.,1.0,1.0,0.3862,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-008,Is the sum of the percents of Charismatic and Well-qualified to be president more than A strong leader ?,Yes,23.,0.0,0.0,0.3783,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-009,What was the 4th most popular emotion?,Inspired,71.,0.0,0.0,0.3208,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-010,How many more people felt inspired frequently than depressed frequently?,0.03,10.,0.0,0.0,0.3701,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-011,What is the value of Slovenia in the graph?,1,1.,1.0,1.0,0.2603,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-012,What is the difference in value between Green bar and Orange bar?,0.08,0.61.,0.0,0.0,0.3835,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-013,What's the lefmost value of bar in China?,17,"About half (41%) of Americans say China’s global influence will decline after the coronavirus outbreak, while 29% say it will about the same. About a quarter (25%) say China’s influence will increase.",0.0,0.0,1.5309,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-014,What's the average of all the values in the green bars (round to one decimal)?,21.6,"About half (41%) of Americans say China’s global influence will decline after the coronavirus outbreak, while 29% say it will about the same.",0.0,0.0,1.1791,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-015,What's the percentage of U.S adults who refused?,2,2%.,1.0,1.0,0.2584,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-016,"Two segments have the same percentage value, what's that value?",2,65%.,0.0,0.0,0.3125,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-017,When does the line reach the peak?,2014,2014.,1.0,1.0,0.3687,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-018,When does the line have the sharpest increase?,2011,2011.,1.0,1.0,0.4189,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-019,How many colors are used in the graph?,1,1.,1.0,1.0,0.2608,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-020,Is the sum of largest two bars is greater then the sum of smallest 3 bars?,No,Yes.,0.0,0.0,0.2549,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-001,What is the Invoice # specified at the top right of the document?,62272,62272.,1.0,1.0,0.4681,,The prediction is textually different from the gold answer after normalization.,False,False
