row_id,source_dataset,source_config,source_split,source_index,source_id,image_path,question,gold_answer,generated_absent_target,source_available_fields,absence_evidence,construction_type,source_image_unchanged,mechanically_verifiable
docvqa-not_found-001,generated_from_lmms-lab/DocVQA,DocVQA,validation,0,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,What is the fax number?,not found; not answerable from the document; NOT_FOUND,fax number,,"manual assumption only; no source unanswerable annotation, OCR text, field inventory, document type, or source available-field list stored",generated question from fixed template,"content copied/re-encoded from DocVQA image; no crop or visual edit in code, but no original image hash stored",no - needs manual audit
docvqa-not_found-002,generated_from_lmms-lab/DocVQA,DocVQA,validation,0,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,What is the vendor tax ID?,not found; not answerable from the document; NOT_FOUND,vendor tax ID,,"manual assumption only; no source unanswerable annotation, OCR text, field inventory, document type, or source available-field list stored",generated question from fixed template,"content copied/re-encoded from DocVQA image; no crop or visual edit in code, but no original image hash stored",no - needs manual audit
docvqa-not_found-003,generated_from_lmms-lab/DocVQA,DocVQA,validation,0,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,What is the payment due date?,not found; not answerable from the document; NOT_FOUND,payment due date,,"manual assumption only; no source unanswerable annotation, OCR text, field inventory, document type, or source available-field list stored",generated question from fixed template,"content copied/re-encoded from DocVQA image; no crop or visual edit in code, but no original image hash stored",no - needs manual audit
docvqa-not_found-004,generated_from_lmms-lab/DocVQA,DocVQA,validation,0,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,What is the discount code?,not found; not answerable from the document; NOT_FOUND,discount code,,"manual assumption only; no source unanswerable annotation, OCR text, field inventory, document type, or source available-field list stored",generated question from fixed template,"content copied/re-encoded from DocVQA image; no crop or visual edit in code, but no original image hash stored",no - needs manual audit
docvqa-not_found-005,generated_from_lmms-lab/DocVQA,DocVQA,validation,0,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,Who approved this document?,not found; not answerable from the document; NOT_FOUND,approval person / approver,,"manual assumption only; no source unanswerable annotation, OCR text, field inventory, document type, or source available-field list stored",generated question from fixed template,"content copied/re-encoded from DocVQA image; no crop or visual edit in code, but no original image hash stored",no - needs manual audit
docvqa-not_found-006,generated_from_lmms-lab/DocVQA,DocVQA,validation,0,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,What is the shipping method?,not found; not answerable from the document; NOT_FOUND,shipping method,,"manual assumption only; no source unanswerable annotation, OCR text, field inventory, document type, or source available-field list stored",generated question from fixed template,"content copied/re-encoded from DocVQA image; no crop or visual edit in code, but no original image hash stored",no - needs manual audit
docvqa-not_found-007,generated_from_lmms-lab/DocVQA,DocVQA,validation,0,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,What is the fax number?,not found; not answerable from the document; NOT_FOUND,fax number,,"manual assumption only; no source unanswerable annotation, OCR text, field inventory, document type, or source available-field list stored",generated question from fixed template,"content copied/re-encoded from DocVQA image; no crop or visual edit in code, but no original image hash stored",no - needs manual audit
docvqa-not_found-008,generated_from_lmms-lab/DocVQA,DocVQA,validation,0,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,What is the vendor tax ID?,not found; not answerable from the document; NOT_FOUND,vendor tax ID,,"manual assumption only; no source unanswerable annotation, OCR text, field inventory, document type, or source available-field list stored",generated question from fixed template,"content copied/re-encoded from DocVQA image; no crop or visual edit in code, but no original image hash stored",no - needs manual audit
docvqa-not_found-009,generated_from_lmms-lab/DocVQA,DocVQA,validation,0,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,What is the payment due date?,not found; not answerable from the document; NOT_FOUND,payment due date,,"manual assumption only; no source unanswerable annotation, OCR text, field inventory, document type, or source available-field list stored",generated question from fixed template,"content copied/re-encoded from DocVQA image; no crop or visual edit in code, but no original image hash stored",no - needs manual audit
docvqa-not_found-010,generated_from_lmms-lab/DocVQA,DocVQA,validation,0,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,What is the discount code?,not found; not answerable from the document; NOT_FOUND,discount code,,"manual assumption only; no source unanswerable annotation, OCR text, field inventory, document type, or source available-field list stored",generated question from fixed template,"content copied/re-encoded from DocVQA image; no crop or visual edit in code, but no original image hash stored",no - needs manual audit
docvqa-not_found-011,generated_from_lmms-lab/DocVQA,DocVQA,validation,0,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,Who approved this document?,not found; not answerable from the document; NOT_FOUND,approval person / approver,,"manual assumption only; no source unanswerable annotation, OCR text, field inventory, document type, or source available-field list stored",generated question from fixed template,"content copied/re-encoded from DocVQA image; no crop or visual edit in code, but no original image hash stored",no - needs manual audit
docvqa-not_found-012,generated_from_lmms-lab/DocVQA,DocVQA,validation,0,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,What is the shipping method?,not found; not answerable from the document; NOT_FOUND,shipping method,,"manual assumption only; no source unanswerable annotation, OCR text, field inventory, document type, or source available-field list stored",generated question from fixed template,"content copied/re-encoded from DocVQA image; no crop or visual edit in code, but no original image hash stored",no - needs manual audit
docvqa-not_found-013,generated_from_lmms-lab/DocVQA,DocVQA,validation,0,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,What is the fax number?,not found; not answerable from the document; NOT_FOUND,fax number,,"manual assumption only; no source unanswerable annotation, OCR text, field inventory, document type, or source available-field list stored",generated question from fixed template,"content copied/re-encoded from DocVQA image; no crop or visual edit in code, but no original image hash stored",no - needs manual audit
docvqa-not_found-014,generated_from_lmms-lab/DocVQA,DocVQA,validation,0,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,What is the vendor tax ID?,not found; not answerable from the document; NOT_FOUND,vendor tax ID,,"manual assumption only; no source unanswerable annotation, OCR text, field inventory, document type, or source available-field list stored",generated question from fixed template,"content copied/re-encoded from DocVQA image; no crop or visual edit in code, but no original image hash stored",no - needs manual audit
docvqa-not_found-015,generated_from_lmms-lab/DocVQA,DocVQA,validation,0,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,What is the payment due date?,not found; not answerable from the document; NOT_FOUND,payment due date,,"manual assumption only; no source unanswerable annotation, OCR text, field inventory, document type, or source available-field list stored",generated question from fixed template,"content copied/re-encoded from DocVQA image; no crop or visual edit in code, but no original image hash stored",no - needs manual audit
